image,label
cju5ddda9bkkt0850enzwatb1.jpg,cju5ddda9bkkt0850enzwatb1.txt
cju330ofbc2l30801th5g3hw6.jpg,cju330ofbc2l30801th5g3hw6.txt
cju35k2fr3vc50988c85qkrwg.jpg,cju35k2fr3vc50988c85qkrwg.txt
cju2ouil2mssu0993hvxsed6d.jpg,cju2ouil2mssu0993hvxsed6d.txt
cju2xwm1s84l50799i60mq0pu.jpg,cju2xwm1s84l50799i60mq0pu.txt
cju5wqonpm0e60801z88ewmy1.jpg,cju5wqonpm0e60801z88ewmy1.txt
cju3ul8dogf1z09872y2ecowp.jpg,cju3ul8dogf1z09872y2ecowp.txt
cju324q101fhe08350wae9cif.jpg,cju324q101fhe08350wae9cif.txt
cjyzu9th0qt4r0a46pyl4zik0.jpg,cjyzu9th0qt4r0a46pyl4zik0.txt
cju85citjlnfm0755i4rk5tqj.jpg,cju85citjlnfm0755i4rk5tqj.txt
cju2s2527pfyr0993l3h1149a.jpg,cju2s2527pfyr0993l3h1149a.txt
cju42nm68lpyo0818xvvqmupq.jpg,cju42nm68lpyo0818xvvqmupq.txt
cju7db7lp2f400755tntd1ohf.jpg,cju7db7lp2f400755tntd1ohf.txt
cju2rn0hasxri0835nfy3buay.jpg,cju2rn0hasxri0835nfy3buay.txt
cju88v2f9oi8w0871hx9auh01.jpg,cju88v2f9oi8w0871hx9auh01.txt
cju13hp5rnbjx0835bf0jowgx.jpg,cju13hp5rnbjx0835bf0jowgx.txt
cju5cjh3xattc0817j2vbulzi.jpg,cju5cjh3xattc0817j2vbulzi.txt
cju2tpfa5uyx408359datxqqj.jpg,cju2tpfa5uyx408359datxqqj.txt
cju6vrs1ov8cr098788h8gs6j.jpg,cju6vrs1ov8cr098788h8gs6j.txt
cju8a56vxpy780850r45yu4wk.jpg,cju8a56vxpy780850r45yu4wk.txt
cju7dqcwi2dz00850gcmr2ert.jpg,cju7dqcwi2dz00850gcmr2ert.txt
cju8bafgqrf4x0818twisk3ea.jpg,cju8bafgqrf4x0818twisk3ea.txt
cju2t2ivz43i10878zeg8r1br.jpg,cju2t2ivz43i10878zeg8r1br.txt
cju33x0f22peh0988g0ln7w5v.jpg,cju33x0f22peh0988g0ln7w5v.txt
cju2hjrqcvi2j0801bx1i6gxg.jpg,cju2hjrqcvi2j0801bx1i6gxg.txt
cju160wshltz10993i1gmqxbe.jpg,cju160wshltz10993i1gmqxbe.txt
cju5fi0yxd3ei0801v7u0yudn.jpg,cju5fi0yxd3ei0801v7u0yudn.txt
cju3ya7goj6at0818v2l5ay7f.jpg,cju3ya7goj6at0818v2l5ay7f.txt
cju357rxxdaz30878y2esjpjt.jpg,cju357rxxdaz30878y2esjpjt.txt
cju88q6h6obpd0871ckmiabbo.jpg,cju88q6h6obpd0871ckmiabbo.txt
cju8at3s1qqqx0850hcq8nmnq.jpg,cju8at3s1qqqx0850hcq8nmnq.txt
cju3xuj20ivgp0818mij8bjrd.jpg,cju3xuj20ivgp0818mij8bjrd.txt
cju16b6ynq8e40988m8vx0xnj.jpg,cju16b6ynq8e40988m8vx0xnj.txt
cju18ibp219ub08783i6o98g7.jpg,cju18ibp219ub08783i6o98g7.txt
cju2uzabhs6er0993x3aaf87p.jpg,cju2uzabhs6er0993x3aaf87p.txt
cju87zv8lni0o0850hbbecbq6.jpg,cju87zv8lni0o0850hbbecbq6.txt
cju6v5ilsv8hk0850rb5sgh6o.jpg,cju6v5ilsv8hk0850rb5sgh6o.txt
cju1brhsj3rls0855a1vgdlen.jpg,cju1brhsj3rls0855a1vgdlen.txt
cju30j1rgadut0801vuyrsnt8.jpg,cju30j1rgadut0801vuyrsnt8.txt
cju88fpm4o0tl0871w1i6a4ds.jpg,cju88fpm4o0tl0871w1i6a4ds.txt
cju6vvb8svhed0801jjcquh5e.jpg,cju6vvb8svhed0801jjcquh5e.txt
cju85c2d4ln1b0755zz1z3onx.jpg,cju85c2d4ln1b0755zz1z3onx.txt
ck2bxw18mmz1k0725litqq2mc.jpg,ck2bxw18mmz1k0725litqq2mc.txt
cju2zdvjn9h7r08553cp4eed5.jpg,cju2zdvjn9h7r08553cp4eed5.txt
cju2trtjf4qjd0878a2zle9v9.jpg,cju2trtjf4qjd0878a2zle9v9.txt
cju5clr68b48r0755cmuvponm.jpg,cju5clr68b48r0755cmuvponm.txt
cju2t3ibkuecr0835o7si16zv.jpg,cju2t3ibkuecr0835o7si16zv.txt
ck2bxpfgxu2mk0748gsh7xelu.jpg,ck2bxpfgxu2mk0748gsh7xelu.txt
cju2urqpwvxw70835rvndvtsi.jpg,cju2urqpwvxw70835rvndvtsi.txt
cju2syxa93yw40799x2iuwabz.jpg,cju2syxa93yw40799x2iuwabz.txt
cju3xiic0ilzp0850lusrb42j.jpg,cju3xiic0ilzp0850lusrb42j.txt
cju1cbokpuiw70988j4lq1fpi.jpg,cju1cbokpuiw70988j4lq1fpi.txt
cju2ulk385h170799rlklxob0.jpg,cju2ulk385h170799rlklxob0.txt
cju83h9ysjwe808716nt35oah.jpg,cju83h9ysjwe808716nt35oah.txt
cjyzkpsbjdsjq07211dfi4sru.jpg,cjyzkpsbjdsjq07211dfi4sru.txt
cju6ut4l8va6y0755tyw3vfqq.jpg,cju6ut4l8va6y0755tyw3vfqq.txt
cju2m56cryvqd0801gtn2yp8t.jpg,cju2m56cryvqd0801gtn2yp8t.txt
cju7f6cqy2ur20818t1saazbm.jpg,cju7f6cqy2ur20818t1saazbm.txt
cju8c5223s8j80850b4kealt4.jpg,cju8c5223s8j80850b4kealt4.txt
cju0sxqiclckk08551ycbwhno.jpg,cju0sxqiclckk08551ycbwhno.txt
cju2ti1du4idn0878giuozonw.jpg,cju2ti1du4idn0878giuozonw.txt
cju7da88w2eod0755wejzynvt.jpg,cju7da88w2eod0755wejzynvt.txt
cju6v3bb2v7xo085090blubyw.jpg,cju6v3bb2v7xo085090blubyw.txt
cju7dglf226g50987ohbthl19.jpg,cju7dglf226g50987ohbthl19.txt
cju5buy2bal250818ipl6fqwv.jpg,cju5buy2bal250818ipl6fqwv.txt
cju45qbf3n9sa0987oonbkly9.jpg,cju45qbf3n9sa0987oonbkly9.txt
cju5uget8krjy0818kvywd0zu.jpg,cju5uget8krjy0818kvywd0zu.txt
cju3x9lttikfb0818a0g104zn.jpg,cju3x9lttikfb0818a0g104zn.txt
cju30ov1oah920801mi8thuyg.jpg,cju30ov1oah920801mi8thuyg.txt
cju5wrapcm2290818jsh26ppb.jpg,cju5wrapcm2290818jsh26ppb.txt
ck2da7fwcjfis07218r1rvm95.jpg,ck2da7fwcjfis07218r1rvm95.txt
cju1c8ffau5770835g0g343o8.jpg,cju1c8ffau5770835g0g343o8.txt
cju8chxndsre008015uisl4si.jpg,cju8chxndsre008015uisl4si.txt
cju306x7w05nb0835cunv799x.jpg,cju306x7w05nb0835cunv799x.txt
cju5cky5xb0ay0801oxet697t.jpg,cju5cky5xb0ay0801oxet697t.txt
cju18kevfrojc0835bn90f1in.jpg,cju18kevfrojc0835bn90f1in.txt
cju3yb47cj1xq0817zfotbni4.jpg,cju3yb47cj1xq0817zfotbni4.txt
cju8b5p40r2c60987ofa0mu03.jpg,cju8b5p40r2c60987ofa0mu03.txt
cju5bmhdcafs909878qfzrqzi.jpg,cju5bmhdcafs909878qfzrqzi.txt
